# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=8][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=10][T/m^n] polynom_a[n=13][T/m^n] 
+1.0000000000000000e+00 -2.4780703582398419e-06 +6.2825402566655131e-01 -4.9532114719681553e-02 -2.7390708253994858e+03 +2.9158975679519508e+03 -5.1992280625741661e+07 +5.0683351001061649e+09 +4.1423389145610382e+11 +3.1208018491967816e+13 -1.1545785285445932e+15 -2.1167606726845933e+20 
+1.1000000000000001e+00 -2.4830331507813756e-06 +6.2825856168934424e-01 -4.7157565900425025e-02 -2.7392741993487248e+03 +2.7494365461336783e+03 -4.8503105917651147e+07 +5.1641715846130781e+09 +3.8839841382909686e+11 +3.0281173093632691e+13 -1.0964369053385982e+15 -1.9659178121569400e+20 
+1.2000000000000002e+00 -2.4913422110291749e-06 +6.2826223826449978e-01 -4.4068066828797291e-02 -2.7394730167214329e+03 +2.5329667074395788e+03 -4.3840668488918371e+07 +5.2711747559031134e+09 +3.5180843959011121e+11 +2.9221461748643473e+13 -1.0049268378069264e+15 -1.7871332379447191e+20 
+1.3000000000000000e+00 -2.5021057438990064e-06 +6.2826498127790265e-01 -4.0475812836895428e-02 -2.7396580284522574e+03 +2.2811640022574552e+03 -3.8341537777794182e+07 +5.3837788323559065e+09 +3.0745537176732446e+11 +2.8085200950873629e+13 -8.8899490080827625e+14 -1.5904095214757144e+20 
+1.4000000000000001e+00 -2.5144319520529166e-06 +6.2826671661517763e-01 -3.6592999978759845e-02 -2.7398199854625623e+03 +2.0087044192335750e+03 -3.2342283943723477e+07 +5.4964180276222868e+09 +2.5833061898447348e+11 +2.6928707236919266e+13 -7.5758768446326825e+14 -1.3857492408318858e+20 
+1.5000000000000000e+00 -2.5274290404447351e-06 +6.2826737016180678e-01 -3.2631823590553041e-02 -2.7399496386659575e+03 +1.7302639094561368e+03 -2.6179476444496747e+07 +5.6035265525160351e+09 +2.0742558445796771e+11 +2.5808297169108879e+13 -6.1965176422166888e+14 -1.1831549781152593e+20 
+1.6000000000000001e+00 -2.5402052124447369e-06 +6.2826686780373209e-01 -2.8804479489441148e-02 -2.7400377389992836e+03 +1.4605184486854823e+03 -2.0189685191903178e+07 +5.6995386259224615e+09 +1.5773167486101721e+11 +2.4780287237482477e+13 -4.8413372482013106e+14 -9.9262930431114248e+19 
+1.7000000000000002e+00 -2.5518686721982891e-06 +6.2826513542657103e-01 -2.5323163243648916e-02 -2.7400750373840360e+03 +1.2141439993912370e+03 -1.4709479846067535e+07 +5.7788884617381182e+09 +1.1224029490890367e+11 +2.3900993975869539e+13 -3.5998014564595412e+14 -8.2417479695397945e+19 
+1.8000000000000000e+00 -2.5615276233520547e-06 +6.2826209891579388e-01 -2.2400070620158939e-02 -2.7400522847328252e+03 +1.0058165360205084e+03 -1.0075430312492458e+07 +5.8360102702582417e+09 +7.3942851335765488e+10 +2.3226733951749289e+13 -2.5613761183856722e+14 -6.8779403904991265e+19 
+1.9000000000000001e+00 -2.5682902701144673e-06 +6.2825768415736760e-01 -2.0247397158986085e-02 -2.7399602319847222e+03 +8.5021201930522909e+02 -6.6241062153537907e+06 +5.8653382714602213e+09 +4.5830748559343834e+10 +2.2813823644558113e+13 -1.8155270193394384e+14 -5.9348959978225115e+19 
+2.0000000000000000e+00 -2.5712648164687909e-06 +6.2825181703685329e-01 -1.9077338470372251e-02 -2.7397896300574957e+03 +7.6200641356709775e+02 -4.6920772438353077e+06 +5.8613066776972475e+09 +3.0895391482566349e+10 +2.2718579602534957e+13 -1.4517199574480859e+14 -5.5126405901750936e+19 
+2.1000000000000001e+00 -2.5698486046818972e-06 +6.2824448844671377e-01 -1.9027549918458529e-02 -2.7395356754497002e+03 +7.5078377475230286e+02 -4.4991072785345083e+06 +5.8204285977504053e+09 +3.1083223549736828e+10 +2.2977337972511977e+13 -1.5279118824657506e+14 -5.6785562648413053e+19 
+2.2000000000000002e+00 -2.5645955309721673e-06 +6.2823594930680038e-01 -1.9937525316879850e-02 -2.7392113469751444e+03 +8.0576048445660717e+02 -5.7977360460843146e+06 +5.7475327250012693e+09 +4.4160834345801338e+10 +2.3546513300590930e+13 -1.9760241125833369e+14 -6.3694503097669362e+19 
+2.3000000000000003e+00 -2.5563486303824904e-06 +6.2822651554387154e-01 -2.1572218005502131e-02 -2.7388340690276523e+03 +9.1106100181865531e+02 -8.2236971701562535e+06 +5.6495266486999416e+09 +6.6849849536046227e+10 +2.4362539737138648e+13 -2.6964690465927862e+14 -7.4894863215135457e+19 
+2.4000000000000004e+00 -2.5459509382247059e-06 +6.2821650308412091e-01 -2.3696581242410843e-02 -2.7384212659731725e+03 +1.0508097817755674e+03 -1.1412724197159795e+07 +5.5333179486331711e+09 +9.5871894198470245e+10 +2.5361851516713188e+13 -3.5896590675413450e+14 -8.9428280249562186e+19 
+2.5000000000000000e+00 -2.5342454876694018e-06 +6.2820622785446079e-01 -2.6075569026430288e-02 -2.7379903622142069e+03 +1.2091313204863698e+03 -1.5000551477783022e+07 +5.4058142173949404e+09 +1.2794859981392725e+11 +2.6480882758843098e+13 -4.5560067366385775e+14 -1.0633638967348717e+20 
+2.6000000000000001e+00 -2.5220753156415151e-06 +6.2819600578130363e-01 -2.8474134037092390e-02 -2.7375587821270638e+03 +1.3701500400712057e+03 -1.8622911910281535e+07 +5.2739230381476288e+09 +1.5980158625640884e+11 +2.7656067668420461e+13 -5.4959242912193094e+14 -1.2466082829111321e+20 
+2.7000000000000002e+00 -2.5102834552117139e-06 +6.2818615279133083e-01 -3.0657230316216359e-02 -2.7371439501027930e+03 +1.5179904393835341e+03 -2.1915539902057119e+07 +5.1445519995572567e+09 +1.8815248548263910e+11 +2.8823840400046641e+13 -6.3098243062536262e+14 -1.4344323211227375e+20 
+2.8000000000000003e+00 -2.4997129418610012e-06 +6.2817698481118522e-01 -3.2389811037029294e-02 -2.7367632905296314e+03 +1.6367769678341497e+03 -2.4514168881477982e+07 +5.0246086890482025e+09 +2.0972292157350967e+11 +2.9920635120110914e+13 -6.8981191358590288e+14 -1.6172523734196837e+20 
+2.9000000000000004e+00 -2.4912068107331243e-06 +6.2816881776726208e-01 -3.3436829530557252e-02 -2.7364342277836063e+03 +1.7106340848413538e+03 -2.6054532487427276e+07 +4.9210006898607616e+09 +2.2123452037012244e+11 +3.0882886032377887e+13 -7.1612211848493838e+14 -1.7854848075838069e+20 
+3.0000000000000000e+00 -2.4856080957603847e-06 +6.2816196758634812e-01 -3.3563239496965783e-02 -2.7361741862605832e+03 +1.7236862688911569e+03 -2.6172364712633915e+07 +4.8406355921808691e+09 +2.1940891043088464e+11 +3.1647027278216348e+13 -6.9995429316312188e+14 -1.9295459817556302e+20 
+3.1000000000000001e+00 -2.4834897592889893e-06 +6.2815665930025921e-01 -3.2611450813979134e-02 -2.7359957166264626e+03 +1.6650749536647070e+03 -2.4617318154419184e+07 +4.7886351605997686e+09 +2.0199896139098651e+11 +3.2165184445077035e+13 -6.3452639653216575e+14 -2.0418999098420036e+20 
+3.2000000000000002e+00 -2.4843444682884558e-06 +6.2815275436208673e-01 -3.0733700828199973e-02 -2.7358918746852751e+03 +1.5440095360339219e+03 -2.1594722467404053e+07 +4.7629778772543964e+09 +1.7088252742337076e+11 +3.2452248726886559e+13 -5.2576328648340156e+14 -2.1232012015791129e+20 
+3.3000000000000003e+00 -2.4873948192530935e-06 +6.2815002333043057e-01 -2.8159682657376648e-02 -2.7358508425353425e+03 +1.3747163446046368e+03 -1.7423825441423584e+07 +4.7598564071667862e+09 +1.2896869997330165e+11 +3.2538802687490508e+13 -3.8276652125053225e+14 -2.1761521107015693e+20 
+3.4000000000000004e+00 -2.4918634059272634e-06 +6.2814823676356968e-01 -2.5119090353161660e-02 -2.7358608022582680e+03 +1.1714217596906378e+03 -1.2423875873393575e+07 +4.7754634093756933e+09 +7.9166578498277054e+10 +3.2455428944802566e+13 -2.1463768135749625e+14 -2.2034548993619653e+20 
+3.5000000000000000e+00 -2.4969728226184364e-06 +6.2814716521979042e-01 -2.1841617792131077e-02 -2.7359099359367701e+03 +9.4835215231480856e+02 -6.9141223838868607e+06 +4.8059915434888430e+09 +2.4385261077106041e+10 +3.2232710111259863e+13 -3.0478343540777223e+13 -2.2078118288000962e+20 
+3.6000000000000001e+00 -2.5019456656369562e-06 +6.2814657925776329e-01 -1.8556958136801655e-02 -2.7359864256730407e+03 +7.1973385309939033e+02 -1.2138127967062425e+06 +4.8476334759928265e+09 -3.2466160602278336e+10 +3.1901228737271781e+13 +1.6060993334447206e+14 -2.1919251506179509e+20 
+3.7000000000000002e+00 -2.5060045288647030e-06 +6.2814624943589847e-01 -1.5494805390227750e-02 -2.7360784535551111e+03 +4.9979323945660610e+02 +4.3578041514369091e+06 +4.8965818680882626e+09 -8.8478587586032761e+10 +3.1491567421567512e+13 +3.4952557023249612e+14 -2.1584971240537657e+20 
+3.8000000000000003e+00 -2.5083720067830717e-06 +6.2814594631241150e-01 -1.2884853357918740e-02 -2.7361742016620510e+03 +3.0275667823887369e+02 +9.4814799231715519e+06 +4.9490293781032381e+09 -1.4074292246424707e+11 +3.1034308788057754e+13 +5.2716699225554806e+14 -2.1102300121123979e+20 
+3.9000000000000004e+00 -2.5082706945202840e-06 +6.2814544044596099e-01 -1.0956795612043504e-02 -2.7362618520950814e+03 +1.4285052274453855e+02 +1.3837966254847322e+07 +5.0011686720596113e+09 -1.8635007006642740e+11 +3.0560035391643391e+13 +6.8443263091496612e+14 -2.0498260671546691e+20 
+4.0000000000000000e+00 -2.5049231872537599e-06 +6.2814450239486608e-01 -9.9403257370480440e-03 -2.7363295869382659e+03 +3.4301128277475556e+01 +1.7108014824063446e+07 +5.0491924099589834e+09 -2.2239093463334625e+11 +3.0099329841385469e+13 +8.1222091580722938e+14 -1.9799875499292901e+20 
+4.1000000000000005e+00 -2.4978196794257746e-06 +6.2814295500141870e-01 -9.9958497297626507e-03 -2.7363683069217213e+03 -1.2663608777178322e+01 +1.9056795685469922e+07 +5.0900047779485998e+09 -2.4669155148653723e+11 +2.9678140389426289e+13 +9.0365822235644488e+14 -1.9034878654016848e+20 
+4.2000000000000002e+00 -2.4875207596679959e-06 +6.2814083024292988e-01 -1.1006624461548462e-02 -2.7363797873163571e+03 -3.8095501511221053e+00 +1.9787150753737994e+07 +5.1233560515783701e+09 -2.6001846633297934e+11 +2.9303877996975930e+13 +9.6078266874097450e+14 -1.8233850166577781e+20 
+4.2999999999999998e+00 -2.4748546176143668e-06 +6.2813821238102419e-01 -1.2786618668537893e-02 -2.7363685220571329e+03 +5.1098955112967396e+01 +1.9486340845284205e+07 +5.1497080390287247e+09 -2.6387335996210205e+11 +2.8979319209682500e+13 +9.8786032972214362e+14 -1.7428081418686644e+20 
+4.4000000000000004e+00 -2.4606494436037025e-06 +6.2813518567696480e-01 -1.5149800809285303e-02 -2.7363390050595376e+03 +1.4229754129995362e+02 +1.8341627118811131e+07 +5.1695225413352957e+09 -2.5975791598954898e+11 +2.8707240638139477e+13 +9.8915728814383588e+14 -1.6648863893871903e+20 
+4.5000000000000000e+00 -2.4457334259183605e-06 +6.2813183439208498e-01 -1.7910140098614403e-02 -2.7362957302433706e+03 +2.6002188635378138e+02 +1.6540269859633751e+07 +5.1832613612763033e+09 -2.4917381095065433e+11 +2.8490418876699414e+13 +9.6893960687621288e+14 -1.5927489049386572e+20 
+4.6000000000000005e+00 -2.4309347541760651e-06 +6.2812824278772894e-01 -2.0881605257440993e-02 -2.7362431915290299e+03 +3.9450763960959114e+02 +1.4269529926474955e+07 +5.1913863018322582e+09 -2.3362272603457251e+11 +2.8331630517994355e+13 +9.3147336192748862e+14 -1.5295248340108591e+20 
+4.7000000000000002e+00 -2.4170816173850496e-06 +6.2812449512517576e-01 -2.3878165235580298e-02 -2.7361858828334230e+03 +5.3599046398328892e+02 +1.1716667900665672e+07 +5.1943591647218904e+09 -2.1460634014653696e+11 +2.8233652166009766e+13 +8.8102462278639750e+14 -1.4783433238395227e+20 
+4.8000000000000007e+00 -2.4050022055392903e-06 +6.2812067566581198e-01 -2.6713788619350292e-02 -2.7361282980786423e+03 +6.7470600092093798e+02 +9.0689448017656654e+06 +5.1926417533749771e+09 -1.9362633580190808e+11 +2.8199260409673926e+13 +8.2185946925648850e+14 -1.4423335194042440e+20 
+4.9000000000000004e+00 -2.3955247066561272e-06 +6.2811686867096783e-01 -2.9202444704892354e-02 -2.7360749311842796e+03 +8.0088993282461615e+02 +6.5136208272656742e+06 +5.1866958704719496e+09 -1.7218438882586392e+11 +2.8231231844312668e+13 +7.5824396219984062e+14 -1.4246245666031187e+20 
+5.0000000000000000e+00 -2.3894773115192343e-06 +6.2811315840204196e-01 -3.1158101819828931e-02 -2.7360302760736940e+03 +9.0477788733042792e+02 +4.2379572578821974e+06 +5.1769833201303911e+09 -1.5178218376330676e+11 +2.8332343052006305e+13 +6.9444418696065500e+14 -1.4283456092144502e+20 
+5.1000000000000005e+00 -2.3874018125028246e-06 +6.2810961723999548e-01 -3.2443925408006023e-02 -2.7359982291249548e+03 +9.7896938147608500e+02 +2.3879538732568370e+06 +5.1642119294475985e+09 -1.3363216763222885e+11 +2.8500642409258676e+13 +6.3403842152660325e+14 -1.4550670682589477e+20 
+5.2000000000000002e+00 -2.3886944162551760e-06 +6.2810627004472630e-01 -3.3119866722857945e-02 -2.7359802965750514e+03 +1.0255193440625007e+03 +9.4456727358901745e+05 +5.1500736334345779e+09 -1.1778985972912866e+11 +2.8715265321184039e+13 +5.7785377655800575e+14 -1.5001244495304049e+20 
+5.3000000000000007e+00 -2.3924649347242344e-06 +6.2810312979550276e-01 -3.3295072866414269e-02 -2.7359773871055713e+03 +1.0488465228240607e+03 -1.5250606498721967e+05 +5.1365063864239597e+09 -1.0402155280880231e+11 +2.8950619020476496e+13 +5.2602958598843925e+14 -1.5572945412472642e+20 
+5.4000000000000004e+00 -2.3978231791137892e-06 +6.2810020947202927e-01 -3.3078691183217490e-02 -2.7359904094215126e+03 +1.0533696786623968e+03 -9.6356992016873136e+05 +5.1254481514027557e+09 -9.2093537618960419e+10 +2.9181110660876281e+13 +4.7870517819027750e+14 -1.6203541191761307e+20 
+5.5000000000000000e+00 -2.4038789613545436e-06 +6.2809752205379987e-01 -3.2579868755449555e-02 -2.7360202722165236e+03 +1.0435075574234088e+03 -1.5489277691647618e+06 +5.1188368871393042e+09 -8.1772107340410660e+10 +2.9381147434687754e+13 +4.3601988839459788e+14 -1.6830799651842186e+20 
+5.6000000000000005e+00 -2.4097420914699994e-06 +6.2809508052014329e-01 -3.1907753354425111e-02 -2.7360678841755857e+03 +1.0236789443732873e+03 -1.9688838730737276e+06 +5.1186105493156004e+09 -7.2823548826763000e+10 +2.9525136561978652e+13 +3.9811303404277225e+14 -1.7392488654244902e+20 
+5.7000000000000002e+00 -2.4145223812938312e-06 +6.2809289785064149e-01 -3.1171492113206769e-02 -2.7361341539973582e+03 +9.9830258876138373e+02 -2.2837417832141961e+06 +5.1267070986105518e+09 -6.5014154623813049e+10 +2.9587485217517785e+13 +3.6512394850324144e+14 -1.7826375989795445e+20 
+5.8000000000000007e+00 -2.4173296418691350e-06 +6.2809098702471333e-01 -3.0480232431392921e-02 -2.7362199903718206e+03 +9.7179725449277817e+02 -2.5538053345146412e+06 +5.1450644925627575e+09 -5.8110215033660355e+10 +2.9542600604501684e+13 +3.3719195893248838e+14 -1.8070229493664334e+20 
+5.9000000000000004e+00 -2.4172736848473971e-06 +6.2808936102184165e-01 -2.9943121508787363e-02 -2.7363263019919523e+03 +9.4858169465788660e+02 -2.8393781549496138e+06 +5.1756206897126150e+09 -5.1878021982088165e+10 +2.9364889917178762e+13 +3.1445639695366550e+14 -1.8061816987198377e+20 
+6.0000000000000000e+00 -2.4134643207886139e-06 +6.2808803282153969e-01 -2.9669306912823327e-02 -2.7364539975522771e+03 +9.3307468264856413e+02 -3.2007642674716795e+06 +5.2203136490873823e+09 -4.6083864253582138e+10 +2.9028760345671180e+13 +2.9705658545077544e+14 -1.7738906286026346e+20 
+6.1000000000000005e+00 -2.4052838787172114e-06 +6.2808699588622519e-01 -2.9734488475212224e-02 -2.7366026464567567e+03 +9.2842601267471900e+02 -3.6825599129882585e+06 +5.2800661484558764e+09 -4.0532052678919746e+10 +2.8520327943443629e+13 +2.8494688371604019e+14 -1.7063875384097332e+20 
+6.2000000000000002e+00 -2.3932047546905638e-06 +6.2808616560927299e-01 -3.0080577433789418e-02 -2.7367664609100348e+03 +9.3270969387090872e+02 -4.2665327932045003e+06 +5.3517402262371330e+09 -3.5178965517018387e+10 +2.7872544349735941e+13 +2.7734173856604978e+14 -1.6097543201601113e+20 
+6.3000000000000007e+00 -2.3779718637885623e-06 +6.2808543786717985e-01 -3.0616037091405885e-02 -2.7369383138368144e+03 +9.4273074518917224e+02 -4.9187426159086060e+06 +5.4311827431257763e+09 -3.0019004738557411e+10 +2.7130070035932047e+13 +2.7327063780775762e+14 -1.4925338790069269e+20 
+6.4000000000000004e+00 -2.3603301195759733e-06 +6.2808470853638321e-01 -3.1249331261811560e-02 -2.7371110781587317e+03 +9.5529421350623397e+02 -5.6052496269486714e+06 +5.5142405587672777e+09 -2.5046568069496796e+10 +2.6337565482736926e+13 +2.7176305751757200e+14 -1.3632691215197345e+20 
+6.5000000000000000e+00 -2.3410244361976448e-06 +6.2808387349326256e-01 -3.1888923596181590e-02 -2.7372776267947529e+03 +9.6720513793253815e+02 -6.2921139375920054e+06 +5.5967605319070206e+09 -2.0256054209693096e+10 +2.5539691178903039e+13 +2.7184847627707556e+14 -1.2305029555072441e+20 
+6.6000000000000005e+00 -2.3207997273115424e-06 +6.2808282861416265e-01 -3.2443277847253787e-02 -2.7374308326615451e+03 +9.7526856097447251e+02 -6.9453956951280590e+06 +5.6745895203526268e+09 -1.5641861748053053e+10 +2.4781107621917797e+13 +2.7255637273145012e+14 -1.1027782901891246e+20 
+6.7000000000000002e+00 -2.3004009069583345e-06 +6.2808146977536927e-01 -3.2820857704838405e-02 -2.7375635686733858e+03 +9.7628952412638728e+02 -7.5311550614027940e+06 +5.7435743812431936e+09 -1.1198388954988235e+10 +2.4106475314856887e+13 +2.7291622420633309e+14 -9.8863803556419666e+19 
+6.8000000000000007e+00 -2.2805728891998858e-06 +6.2807969285358656e-01 -3.2930126825533472e-02 -2.7376687077656761e+03 +9.6707306594071883e+02 -8.0154521247633779e+06 +5.7995619790941420e+09 -6.9200347845267382e+09 +2.3560454694587809e+13 +2.7195751014474631e+14 -8.9662509141393277e+19 
+6.9000000000000004e+00 -2.2620605889049286e-06 +6.2807739372501237e-01 -3.2679548571811295e-02 -2.7377391228473321e+03 +9.4442420814214768e+02 -8.3643466394013148e+06 +5.8383991688805599e+09 -2.8012008836826854e+09 +2.3187706284338977e+13 +2.6870971755105228e+14 -8.3528237099499880e+19 
+7.0000000000000000e+00 -2.2456089194951916e-06 +6.2807446826605728e-01 -3.1977586820101558e-02 -2.7377676868391918e+03 +9.0514800159131210e+02 -8.5438989357114956e+06 +5.8559328101278458e+09 +1.1637157346388323e+09 +2.3032890565534332e+13 +2.6220232043261831e+14 -8.1315278091810226e+19 
+7.1000000000000005e+00 -2.2317292663138052e-06 +6.2807086530716261e-01 -3.0782664498335659e-02 -2.7377503711039285e+03 +8.4847202223266640e+02 -8.5599574806516264e+06 +5.8496554157220488e+09 +5.2302141695076666e+09 +2.3123309121361934e+13 +2.5100037656830959e+14 -8.3549671155074875e+19 
+7.2000000000000002e+00 -2.2199989012627675e-06 +6.2806674549456554e-01 -2.9253041221680633e-02 -2.7376955407586106e+03 +7.8331397559458094e+02 -8.5775238865557052e+06 +5.8236421086447554e+09 +1.0653382885305601e+10 +2.3416827969306715e+13 +2.3181126485339706e+14 -8.9444449193639084e+19 
+7.3000000000000007e+00 -2.2097615701187033e-06 +6.2806232242886528e-01 -2.7596934930888981e-02 -2.7376146593801650e+03 +7.2101405014455202e+02 -8.8013870563379675e+06 +5.7836136719464817e+09 +1.8938199585242939e+10 +2.3853954167357543e+13 +2.0087796737250197e+14 -9.7884392520650408e+19 
+7.4000000000000004e+00 -2.2003610144764890e-06 +6.2805780971024838e-01 -2.6022565038360895e-02 -2.7375191905234046e+03 +6.7291251735988590e+02 -9.4363375292788073e+06 +5.7352908805405397e+09 +3.1589655102986950e+10 +2.4375194847608469e+13 +1.5444342944749784e+14 -1.0775428261491432e+20 
+7.5000000000000000e+00 -2.1911409804037371e-06 +6.2805342093914163e-01 -2.4738149435155520e-02 -2.7374205977565175e+03 +6.5034956450492666e+02 -1.0687164204876896e+07 +5.6843945144416714e+09 +5.0112727228414635e+10 +2.4921057095238156e+13 +8.8750632684381812e+13 -1.1793890020779146e+20 
+7.6000000000000005e+00 -2.1814452104084506e-06 +6.2804936971586667e-01 -2.3951907218933463e-02 -2.7373303446421319e+03 +6.6466544552495384e+02 -1.2758657279431708e+07 +5.6366453516111898e+09 +7.6012404056772903e+10 +2.5432048014200938e+13 +4.2530045576523514e+10 -1.2732302632826331e+20 
+7.7000000000000002e+00 -2.1706174483089881e-06 +6.2804586964085196e-01 -2.3872057020709270e-02 -2.7372598947474939e+03 +7.2720038785643624e+02 -1.5855606424562803e+07 +5.5977641713689203e+09 +1.1079366946285994e+11 +2.5848674696869742e+13 -1.1543791367145017e+14 -1.3479144183850562e+20 
+7.8000000000000007e+00 -2.1580014390407882e-06 +6.2804313431438163e-01 -2.4706817107938133e-02 -2.7372207116334944e+03 +8.4929459921636635e+02 -2.0182800932239115e+07 +5.5734717511523361e+09 +1.5596150432219055e+11 +2.6111444251631496e+13 -2.6144772536294941e+14 -1.3922892782962713e+20 
+7.9000000000000004e+00 -2.1429409262153588e-06 +6.2804137733704457e-01 -2.6664406214283280e-02 -2.7372242588760546e+03 +1.0422883138979446e+03 -2.5945030623750392e+07 +5.5694888734989386e+09 +2.1302089379539725e+11 +2.6160863741513863e+13 -4.4174394401178800e+14 -1.3952026470181732e+20 
+8.0000000000000000e+00 -2.1247796535889739e-06 +6.2804081230893649e-01 -2.9953042991778162e-02 -2.7372820000258689e+03 +1.3175217604495556e+03 -3.3347085191115212e+07 +5.5915363120440645e+09 +2.8347682191006982e+11 +2.5937440309673582e+13 -6.6008360522223525e+14 -1.3455023409612081e+20 
+8.0999999999999996e+00 -2.1031132496176263e-06 +6.2804155128682349e-01 -3.4678519100062789e-02 -2.7374000498337973e+03 +1.6802307163036489e+03 -4.2471534926843859e+07 +5.6427386339266195e+09 +3.6784440444233319e+11 +2.5408663108049871e+13 -9.1746573424019012e+14 -1.2371762958802307e+20 
+8.2000000000000011e+00 -2.0785448829768463e-06 +6.2804330015262566e-01 -4.0536917658152351e-02 -2.7375631277712810e+03 +2.1112331203949661e+03 -5.2912071833321065e+07 +5.7158355513643160e+09 +4.6267927849910474e+11 +2.4649949585989445e+13 -1.2038572988105918e+15 -1.0847729659092117e+20 
+8.3000000000000007e+00 -2.0519296075261427e-06 +6.2804566324440836e-01 -4.7121894598819956e-02 -2.7377506044829379e+03 +2.5852424487353355e+03 -6.4140168268517673e+07 +5.8009705605349617e+09 +5.6354721089888171e+11 +2.3763699287566730e+13 -1.5064672504639468e+15 -9.0798093784643895e+19 
+8.4000000000000004e+00 -2.0241224759307551e-06 +6.2804824490044253e-01 -5.4027106262238771e-02 -2.7379418506239676e+03 +3.0769722000909446e+03 -7.5627297036813021e+07 +5.8882871613668566e+09 +6.6601397203216223e+11 +2.2852311723032293e+13 -1.8125045507133150e+15 -7.2648879323339121e+19 
+8.5000000000000000e+00 -1.9959785422203864e-06 +6.2805064945860500e-01 -6.0846208538262100e-02 -2.7381162368293390e+03 +3.5611358486032418e+03 -8.6844930466415256e+07 +5.9679288465791721e+09 +7.6564532851887146e+11 +2.2018186467799375e+13 -2.1091781506167978e+15 -5.5998512377167331e+19 
